file,rating,base_bias,play_count,artist,album,title,disc,track,duration,year
femtanyl - WORLDWID3 feat. zombAe.mp3,,1,0,"femtanyl, zombAe",WORLDWID3,WORLDWID3 feat. zombAe,,1,147.768,2024
"1f1n1ty/By Day, By Night.mp3",9,1,1,1f1n1ty,,"By Day, By Night",,,462.236,2018
1f1n1ty/Aeolia.mp3,9,1,1,1f1n1ty,1f1n1ty,Aeolia,,1,337.319,2017
1f1n1ty/A Cow That Is Actually A Chicken.mp3,6,1,0,1f1n1ty,A Cow That Is Actually A Chicken,A Cow That Is Actually A Chicken,,1,261.38,2020
1f1n1ty/A Dude Named Grant.mp3,6,1,0,1f1n1ty,A Dude Named Grant,A Dude Named Grant,,1,188.316,2017
1f1n1ty/Abandoned.mp3,7,1,0,1f1n1ty,Abandoned,Abandoned,,1,136.594,2016
1f1n1ty/Hymn in Ab Major.mp3,6,1,1,1f1n1ty,Audio Secret Santa 2019,Hymn in Ab Major,,1,212.532,2019
1f1n1ty/Calm Craggy Area (1f1n1ty Remix).mp3,8,1,0,1f1n1ty,Calm Craggy Area (1f1n1ty Remix),Calm Craggy Area (1f1n1ty Remix),,1,344.215,2017
1f1n1ty/Calycycle.mp3,6,1,1,1f1n1ty,Calycycle,Calycycle,,1,140.538,2018
1f1n1ty/Calygon.mp3,6,1,0,1f1n1ty,Calygon,Calygon,,1,186.07,2015
1f1n1ty/01 Capsule.mp3,6,1,0,1f1n1ty,Capsule Guy OST,Capsule,,1,115.226,2019
1f1n1ty/02 Campaign.mp3,6,1,0,1f1n1ty,Capsule Guy OST,Campaign,,2,289.227,2019
1f1n1ty/03 Caesura.mp3,6,1,0,1f1n1ty,Capsule Guy OST,Caesura,,3,61.544,2019
1f1n1ty/04 Catalysm.mp3,7,1,0,1f1n1ty,Capsule Guy OST,Catalysm,,4,177.24,2019
1f1n1ty/Cartesian Coordinates FIX.mp3,2,1,0,1f1n1ty,Cartesian Coordinates,Cartesian Coordinates,,1,306.52,2014
1f1n1ty/Ivory Dance.mp3,7,1,0,"1f1n1ty, Myolophone",Chipscompo VIII,Ivory Dance,,1,175.151,2017
1f1n1ty/01 Intro (Conjugate OST).mp3,6,1,0,1f1n1ty,Conjugate OST,Intro,,1,183.327,2018
1f1n1ty/02 Loop (Conjugate OST).mp3,6,1,0,1f1n1ty,Conjugate OST,Loop,,2,172.277,2018
1f1n1ty/Dark Matter Suite (ft. LOrbSheddy).mp3,8,1,0,"1f1n1ty, LOrb Sheddy",Dark Matter Suite,Dark Matter Suite,,1,381.022,2016
1f1n1ty/Despair (Preview).mp3,6,1,0,1f1n1ty,Despair,Despair,,1,69.041,2015
1f1n1ty/Dialga's Fight to the Finish! (1f1n1ty Mini-Remix).mp3,7,1,0,1f1n1ty,Dialga's Fight to the Finish!,Dialga's Fight to the Finish!,,1,109.348,2020
1f1n1ty/Discord Server On Saturn.mp3,6,1,1,1f1n1ty,Discord Server On Saturn,Discord Server On Saturn,,1,219.715,2017
